title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
Inglourious Basterds,2009,Quentin Tarantino,153,584639,218416,4.3,424,1085,668,4025,3847,24156,29023,101558,65594,113894
Paths of Glory,1957,Stanley Kubrick,88,74359,23556,4.3,15,47,48,201,322,1878,3824,13053,12624,14826
Fury,2014,David Ayer,135,145217,29977,3.6,216,577,731,3230,5035,17210,20721,24578,6229,5697
Gone with the Wind,1939,"Victor Fleming,George Cukor,Sam Wood",233,90154,17558,3.9,265,536,375,1557,1531,5418,5491,11234,5659,9973
The Thin Red Line,1998,Terrence Malick,171,78597,18011,4.0,112,308,222,1183,1260,4699,5793,12125,7407,9363
The King,2019,David Michôd,140,75374,15684,3.3,179,598,773,3796,5897,15711,14143,11946,2310,2224
300,2006,Zack Snyder,117,221525,31935,3.3,1247,2632,2338,7953,8904,25024,20689,22282,4961,5644
Come and See,1985,Elem Klimov,142,38452,14610,4.5,28,61,61,170,222,713,1275,4521,5799,14080
Braveheart,1995,Mel Gibson,178,173695,31594,3.8,332,828,640,2852,3281,11971,13312,23317,9780,12809
The Hurt Locker,2008,Kathryn Bigelow,131,143475,24682,3.7,224,545,509,2333,2869,11514,16095,25680,8563,5212
American Sniper,2014,Clint Eastwood,133,176127,24573,3.2,2260,3315,2911,8777,9554,22793,19080,19345,4332,4835
Lawrence of Arabia,1962,David Lean,227,86492,23745,4.3,67,200,112,657,732,3211,4185,11785,9129,17467
The Wind Rises,2013,Hayao Miyazaki,126,76250,20410,3.9,67,147,174,850,1231,5288,7696,14250,6979,7348
The Monuments Men,2014,George Clooney,118,50201,3913,2.7,363,1170,1632,5045,5178,7021,2995,1831,286,396
Tropic Thunder,2008,Ben Stiller,107,196049,36121,3.4,817,1870,1529,5699,6662,21153,22807,25717,6390,5591
Barry Lyndon,1975,Stanley Kubrick,185,77681,23759,4.3,72,159,134,674,771,3045,4528,11426,9713,17016
Kingdom of Heaven,2005,Ridley Scott,144,55692,7269,3.3,179,477,552,2196,2793,6297,5641,5748,1914,1495
M*A*S*H,1970,Robert Altman,116,32822,5539,3.6,92,255,235,844,1026,2872,3246,4520,1570,1519
Unbroken,2014,Angelina Jolie,137,46054,6374,3.2,89,387,584,2235,3309,6967,5554,4649,1159,1454
300: Rise of an Empire,2014,Noam Murro,102,60775,4276,2.5,1025,2472,2892,6521,5754,7494,3267,1861,330,439
Duck Soup,1933,Leo McCarey,69,32672,7761,4.0,43,129,129,484,602,1907,2398,4854,2374,3917
The English Patient,1996,Anthony Minghella,162,41025,5476,3.4,145,354,358,1293,1372,3910,3929,4536,1507,1714
Army of Shadows,1969,Jean-Pierre Melville,145,16857,5102,4.3,7,21,12,94,151,597,1066,3040,2606,3249
Lone Survivor,2013,Peter Berg,121,51167,7648,3.3,152,435,570,1835,2954,7535,7549,6566,1566,1260
Empire of the Sun,1987,Steven Spielberg,153,39666,7272,3.7,44,87,95,571,904,3414,4579,6724,1966,1921
Master and Commander: The Far Side of the World,2003,Peter Weir,138,54168,9685,3.7,68,227,205,1120,1277,4557,5800,8083,3155,2709
A Man Escaped,1956,Robert Bresson,101,21769,6534,4.3,11,16,23,100,157,670,1341,4074,3180,3767
Black Book,2006,Paul Verhoeven,145,12991,2153,3.7,15,51,39,210,317,1213,1829,2613,789,433
The Breadwinner,2017,Nora Twomey,94,25597,7562,3.9,18,28,50,185,361,1922,3648,6827,2833,2389
The Tin Drum,1979,Volker Schlöndorff,162,9496,1567,3.7,38,71,62,197,241,724,1082,1530,613,504
Hot Shots! Part Deux,1993,Jim Abrahams,86,27877,3253,3.1,68,307,333,1130,1542,3825,2497,2009,347,372
Rescue Dawn,2006,Werner Herzog,126,19832,2485,3.5,19,57,88,364,665,2626,3292,3008,568,282
How I Live Now,2013,Kevin Macdonald,101,14627,1936,3.0,76,201,308,1050,1306,2453,1598,1111,237,310
Lifeboat,1944,Alfred Hitchcock,96,13011,2477,3.7,7,29,21,123,227,1191,1952,2800,785,509
Che: Part One,2008,Steven Soderbergh,134,14246,2165,3.6,18,47,53,249,395,1451,1845,2346,639,477
Threads,1984,Mick Jackson,117,7259,1858,4.0,4,14,16,63,99,481,749,1744,908,837
Stalag 17,1953,Billy Wilder,120,11544,2736,3.9,8,18,21,108,163,691,1392,2635,1267,861
Lancelot of the Lake,1974,Robert Bresson,85,3803,776,3.7,6,24,25,90,123,341,392,528,313,328
Tora! Tora! Tora!,1970,"Richard Fleischer,Kinji Fukasaku,Toshio Masuda",144,7071,1095,3.5,8,32,40,139,229,867,912,1067,236,215
Cross of Iron,1977,Sam Peckinpah,132,5648,1117,3.7,8,19,24,102,156,598,786,1137,384,273
U-571,2000,Jonathan Mostow,116,13230,1213,3.0,42,122,160,727,970,2192,1227,768,98,96
The Wall,2017,Doug Liman,90,7010,903,3.0,38,95,121,526,833,1884,1072,442,67,51
Johnny Got His Gun,1971,Dalton Trumbo,111,5092,1027,3.8,9,14,28,79,114,430,648,937,403,351
Suite Française,2014,Saul Dibb,103,8583,1383,3.3,17,77,88,393,588,1447,1086,911,171,339
K-19: The Widowmaker,2002,Kathryn Bigelow,138,11073,917,3.0,25,106,142,678,905,1890,1125,646,72,79
Henry V,1989,Kenneth Branagh,137,6977,1356,3.8,7,19,22,99,145,557,758,1253,503,413
Restrepo,2010,"Sebastian Junger,Tim Hetherington",93,10045,1648,3.7,11,19,21,124,227,955,1303,1909,594,442
The Shop on Main Street,1965,"Elmar Klos,Ján Kadár",128,2847,680,4.1,0,5,4,15,29,116,235,606,422,339
The War Game,1965,Peter Watkins,48,4008,837,4.0,0,7,5,27,60,231,411,838,376,356
Red Cliff,2008,John Woo,150,8290,1352,3.6,7,43,42,199,285,972,1154,1338,448,311
The Burmese Harp,1956,Kon Ichikawa,116,3230,814,4.0,1,5,8,30,40,160,249,712,405,344
The Pacific,2010,,540,11644,2417,4.0,9,15,12,77,117,582,1026,2328,1104,1077
Europa Europa,1990,Agnieszka Holland,112,4997,820,3.7,6,18,15,59,133,496,703,927,267,210
The Bridge,1959,Bernhard Wicki,103,2432,564,3.9,2,0,4,10,37,146,283,650,271,187
The Mercenary,1968,Sergio Corbucci,110,2500,664,3.7,1,5,5,29,57,286,467,600,159,101
Night Train to Munich,1940,Carol Reed,96,3016,562,3.5,2,5,10,41,90,395,628,541,134,54
See You Up There,2017,Albert Dupontel,113,3719,987,3.7,1,16,23,82,152,377,548,754,293,300
City of Ghosts,2017,Matthew Heineman,90,2498,433,3.7,3,4,3,36,58,270,487,637,200,121
Stalingrad,1993,Joseph Vilsmaier,134,4584,706,3.6,3,17,15,57,129,539,717,855,245,194
A Farewell to Arms,1932,Frank Borzage,89,2832,410,3.3,3,19,14,126,174,503,389,312,86,40
Five Broken Cameras,2011,"Emad Burnat,Guy Davidi",90,3334,649,3.9,5,6,4,22,54,267,368,711,293,236
Mongol: The Rise of Genghis Khan,2007,Sergei Bodrov,120,5494,661,3.3,9,32,43,193,275,839,831,674,167,111
War and Peace,1956,King Vidor,208,3274,347,3.2,11,28,22,150,209,477,339,234,62,65
Dishonored,1931,Josef von Sternberg,91,2419,627,3.8,1,2,3,37,55,202,351,464,230,208
Ride with the Devil,1999,Ang Lee,138,3727,479,3.2,9,36,40,196,262,585,499,414,123,65
A Grin Without a Cat,1977,Chris Marker,180,1539,428,4.1,3,2,3,13,15,68,105,249,157,218
Soldier of Orange,1977,Paul Verhoeven,147,2440,421,3.7,3,12,7,40,44,226,353,477,152,90
The Most Beautiful,1944,Akira Kurosawa,85,1762,170,2.7,14,51,84,217,227,322,121,76,13,14
Last Days in Vietnam,2014,Rory Kennedy,98,2101,338,3.7,1,1,9,31,54,227,377,568,123,73
Memphis Belle,1990,Michael Caton-Jones,107,5180,661,3.2,1,18,27,178,279,799,573,434,58,87
Story of a Prostitute,1965,Seijun Suzuki,96,1202,274,3.8,0,1,3,11,25,95,182,265,95,54
The Last Full Measure,2019,Todd Robinson,110,1520,274,3.0,8,34,68,174,242,295,187,137,38,57
I Was a Male War Bride,1949,Howard Hawks,105,3004,495,3.4,0,11,18,52,130,412,471,349,82,79
Combat Shock,1986,Buddy Giovinazzo,92,1887,427,3.4,9,18,27,98,107,228,259,265,76,112
El Cid,1961,Anthony Mann,182,2741,339,3.4,4,15,8,106,142,366,335,292,82,96
Eastern Condors,1987,Sammo Hung,97,1758,515,3.8,1,3,9,28,30,175,246,396,147,107
In the Year of the Pig,1969,Emile de Antonio,101,1023,140,3.7,4,0,1,18,26,94,120,187,52,47
Culloden,1964,Peter Watkins,69,1182,260,3.8,0,2,3,5,26,87,132,252,98,81
The Four Feathers,2002,Shekhar Kapur,132,5178,425,3.0,9,71,86,322,377,714,430,284,72,68
Love Is a Many-Splendored Thing,1955,Henry King,102,1429,146,2.9,5,38,31,154,120,218,96,85,31,41
Max Manus: Man of War,2008,"Joachim Rønning,Espen Sandberg",118,3204,302,3.4,4,7,16,52,121,381,438,388,87,51
My Way,2011,"Kang Je-gyu,Directors",137,1859,385,3.5,10,31,40,93,83,183,227,308,116,124
Alone in Berlin,2016,Vincent Pérez,103,1944,216,2.9,3,36,46,198,241,427,218,152,20,34
Von Ryan's Express,1965,Mark Robson,117,2290,379,3.4,1,3,10,44,98,372,448,317,57,44
Kajaki,2014,Paul Katis,108,2085,388,3.6,2,9,7,45,82,281,410,513,144,75
In the Fog,2012,Sergey Loznitsa,130,1379,192,3.4,7,8,9,45,94,219,195,227,53,30
Red Angel,1966,Yasuzō Masumura,95,966,207,3.8,2,1,4,14,14,65,129,200,95,48
"Birds, Orphans and Fools",1969,Juraj Jakubisko,78,911,236,3.8,3,7,2,23,20,61,93,169,93,67
Izo,2004,Takashi Miike,128,1783,257,3.2,22,48,40,94,102,219,165,189,63,77
"Pretty Village, Pretty Flame",1996,Srđan Dragojević,115,1312,290,4.1,4,3,3,9,22,44,64,196,153,186
Air Force,1943,Howard Hawks,124,904,133,3.4,2,8,7,26,48,121,132,122,31,19
USS Indianapolis: Men of Courage,2016,Mario Van Peebles,128,2345,152,2.1,155,289,256,333,213,183,90,73,13,39
King and Country,1964,Joseph Losey,85,822,155,3.7,1,2,2,12,24,79,157,190,59,27
Enamorada,1946,Emilio Fernández,99,967,312,3.8,1,0,2,12,17,94,149,182,82,83
The Yellow Birds,2017,Alexandre Moors,96,924,96,2.9,3,8,30,116,126,205,116,52,8,7
Missing in Action 2: The Beginning,1985,Lance Hool,100,2329,220,2.5,28,85,85,274,231,279,122,57,10,16
The Wings of Eagles,1957,John Ford,110,1268,155,3.3,1,12,15,51,88,187,131,117,38,52
Entre Nous,1983,Diane Kurys,110,541,104,3.6,0,0,0,11,20,65,87,102,30,18
The Round Up,2010,Roselyne Bosch,115,2463,320,3.5,12,22,15,46,81,239,256,275,70,112
Flanders,2006,Bruno Dumont,91,1356,178,3.3,5,18,18,80,68,172,188,176,49,34
Outskirts,1933,Boris Barnet,98,571,78,3.5,0,3,3,12,25,66,90,90,33,19
Lili Marleen,1981,Rainer Werner Fassbinder,120,1301,167,3.5,2,8,5,33,52,159,187,174,53,33
In Harm's Way,1965,Otto Preminger,165,1063,180,3.5,0,4,5,34,45,141,170,153,36,31
Adam Resurrected,2008,Paul Schrader,106,1186,124,3.0,9,15,37,110,128,196,139,89,19,18
The Fortress,2017,Hwang Dong-hyuk,140,1294,152,3.5,4,4,6,21,66,194,308,251,67,37
The Green Berets,1968,John Wayne,142,2219,173,2.3,100,151,104,228,143,223,86,76,7,20
Korengal,2014,Sebastian Junger,84,1366,195,3.3,1,3,7,45,81,284,238,167,29,38
To the Ends of the World,2018,Guillaume Nicloux,99,1005,136,3.2,4,11,25,50,93,243,202,116,26,13
Victory Through Air Power,1943,"James Algar,Clyde Geronimi,Jack Kinney,H. C. Potter",70,969,84,3.0,5,16,22,75,72,151,78,56,13,13
The Sinking of the Lusitania,1918,Winsor McCay,12,1231,190,3.4,0,9,6,29,62,161,164,129,30,30
The Angel,2018,Ariel Vromen,114,1313,166,3.0,22,25,25,104,127,310,172,117,12,25
"Objective, Burma!",1945,Raoul Walsh,142,807,132,3.6,2,0,2,13,28,84,111,120,33,34
Fires on the Plain,2014,Shinya Tsukamoto,87,641,123,3.4,5,4,8,31,41,85,102,121,34,27
For Ever Mozart,1996,Jean-Luc Godard,84,964,142,3.3,8,13,20,47,55,120,91,114,37,33
Siberiade,1979,Andrei Konchalovsky,275,399,93,3.9,0,0,1,4,7,15,54,78,29,53
More American Graffiti,1979,Bill L. Norton,110,1187,131,2.7,14,31,44,126,130,163,82,46,6,14
Toyland,2007,Jochen Alexander Freydank,13,1343,242,3.4,5,21,14,64,67,186,224,207,63,49
Lion of the Desert,1981,Moustapha Akkad,173,1100,186,3.8,1,0,4,23,26,88,123,192,85,107
The Great Raid,2005,John Dahl,132,1688,153,3.0,4,26,31,143,142,331,180,102,21,18
The Dawn Patrol,1930,Howard Hawks,108,593,119,3.5,0,0,5,9,28,73,85,95,36,16
Khartoum,1966,"Basil Dearden,Eliot Elisofon",134,1033,127,3.1,1,12,16,64,100,195,150,78,16,13
"Ilsa, the Mad Butcher",1977,Jesús Franco,90,735,85,2.7,12,39,44,65,66,99,60,38,6,7
Pilgrimage,1933,John Ford,96,552,98,3.7,1,3,0,7,14,62,58,96,47,36
The Man Who Lies,1968,Alain Robbe-Grillet,95,722,137,3.5,1,3,2,18,35,85,102,126,46,25
Flight of the Intruder,1991,John Milius,115,1406,131,2.7,5,30,40,157,153,201,64,45,5,5
Welcome to Sarajevo,1997,Michael Winterbottom,103,1444,140,3.2,3,9,8,53,72,263,194,139,15,11
The Bridges at Toko-Ri,1954,Mark Robson,102,847,80,3.1,3,9,13,46,77,151,97,62,9,9
Johnny Mad Dog,2008,Jean-Stéphane Sauvaire,97,672,104,3.5,2,4,8,18,27,85,108,118,31,20
Paradise Road,1997,Bruce Beresford,122,1178,116,3.2,5,6,7,57,85,171,124,82,10,33
The Memphis Belle: A Story of a Flying Fortress,1944,William Wyler,45,765,130,3.5,1,5,3,12,25,93,133,130,31,25
Zone Troopers,1985,Danny Bilson,86,808,125,2.8,7,22,18,91,96,152,53,28,2,10
Escape from Sobibor,1987,Jack Gold,143,1333,169,3.4,1,7,6,42,49,229,177,160,37,35
A Russian Youth,2019,Alexandr Zolotukhin,72,780,131,3.1,3,7,8,51,94,164,114,94,22,10
A Guy Named Joe,1943,Victor Fleming,120,616,95,3.3,0,1,3,23,24,115,93,70,16,10
Escape to Athena,1979,George P. Cosmatos,125,862,90,2.8,1,12,20,91,118,166,44,22,2,6
Railroad Tigers,2016,Ding Sheng,124,936,115,2.8,8,27,36,99,117,174,109,52,8,13
Beneath Hill 60,2010,Jeremy Sims,122,811,97,3.4,0,4,6,26,38,133,150,110,19,10
Action in the North Atlantic,1943,"Lloyd Bacon,Byron Haskin",126,685,94,3.2,1,1,2,23,55,125,116,52,6,8
The New One-Armed Swordsman,1971,Chang Cheh,102,550,134,3.6,1,1,2,8,16,69,107,120,22,29
A Woman in Berlin,2008,Max Färberböck,131,738,98,3.3,3,8,7,24,31,112,104,79,25,22
White Tiger,2012,Karen Shakhnazarov,105,577,95,3.2,4,10,7,29,49,111,74,69,10,13
A Walk in the Sun,1945,Lewis Milestone,117,483,57,3.3,0,6,3,17,33,73,74,76,10,9
Letters from War,2016,Ivo M. Ferreira,105,611,99,3.3,3,8,11,37,39,101,79,96,28,11
Four Sons,1928,John Ford,100,474,89,3.6,0,0,2,9,10,57,63,104,27,20
Lakshya,2004,Farhan Akhtar,186,1405,248,3.5,6,5,4,35,33,156,181,181,59,44
Special Forces,2011,Stéphane Rybojad,109,1084,110,2.9,6,31,40,76,125,170,100,77,13,19
I Accuse,1938,Abel Gance,119,274,52,3.6,0,0,2,6,10,28,35,46,22,17
1911,2011,"Jackie Chan,Zhang Li",125,959,60,2.7,6,23,42,92,117,136,69,25,6,10
The Naked and the Dead,1958,Raoul Walsh,131,353,52,3.4,2,2,1,13,19,53,39,35,13,16
"The Tulse Luper Suitcases, Part 1: The Moab Story",2003,Peter Greenaway,127,454,66,3.4,1,5,12,19,21,33,40,48,14,26
Edge of Darkness,1943,Lewis Milestone,119,372,73,3.5,0,0,3,8,20,50,48,64,21,6
Map of the Human Heart,1992,Vincent Ward,109,543,86,3.4,1,2,3,19,22,100,65,67,11,21
The Siege of Firebase Gloria,1989,Brian Trenchard-Smith,97,464,103,3.3,2,6,8,20,22,97,78,78,13,9
The Elusive Corporal,1962,Jean Renoir,90,356,62,3.5,0,2,1,7,13,37,56,50,18,14
Seisaku's Wife,1965,Yasuzō Masumura,93,325,71,3.8,0,1,1,3,6,22,42,75,36,15
The Spanish Earth,1937,Joris Ivens,53,543,42,3.2,2,2,9,24,33,98,54,40,7,11
The Seventh Cross,1944,Fred Zinnemann,110,430,63,3.4,1,2,3,14,20,81,77,56,17,5
Bitter Harvest,2017,George Mendeluk,103,500,28,2.3,29,52,45,69,36,47,26,15,7,6
None Shall Escape,1944,André De Toth,85,335,64,3.5,0,1,2,5,17,56,71,61,9,9
The Rape of Europa,2006,"Richard Berge,Bonni Cohen",117,694,120,3.7,0,3,2,8,13,76,89,135,37,36
The North Star,1943,Lewis Milestone,108,367,35,2.8,0,8,15,38,48,64,30,15,3,1
Mobile Suit Gundam Thunderbolt: December Sky,2016,Kō Matsuo,69,754,258,3.7,0,2,8,17,20,67,112,192,60,50
Back to Bataan,1945,Edward Dmytryk,95,581,64,3.0,1,4,7,32,57,116,66,24,5,3
The Little Girl of Hanoi,1975,Hải Ninh,73,158,35,3.5,0,0,0,6,5,19,21,31,9,6
Kill Them All and Come Back Alone,1968,Enzo G. Castellari,100,312,74,3.3,0,3,2,12,18,74,57,38,8,6
Know Your Enemy - Japan,1945,"Frank Capra,Joris Ivens",63,591,28,2.7,8,29,28,50,57,78,30,27,2,6
The Drum,1938,Zoltan Korda,104,254,20,2.9,1,4,7,27,28,48,22,16,2,0
The Last Stage,1948,Wanda Jakubowska,110,141,20,3.5,0,0,0,3,6,25,22,17,6,6
Rangoon,2017,Vishal Bhardwaj,167,635,59,2.8,10,25,20,72,75,79,68,34,8,10
London Can Take It!,1940,"Harry Watt,Humphrey Jennings",9,548,57,3.3,0,2,5,12,29,82,59,47,13,9
The Battle of the Rails,1946,René Clément,85,237,41,3.4,0,2,0,4,14,39,60,24,5,3
The Last Chance,1945,Leopold Lindtberg,113,132,12,3.3,2,0,1,4,11,29,18,7,5,2
Cool Cat Finds a Gun,2013,Derek Savage,22,610,94,2.4,165,51,9,7,1,6,1,8,4,114
When Trumpets Fade,1998,John Irvin,95,593,93,3.3,0,4,7,24,57,111,96,75,13,14
Casting Blossoms to the Sky,2012,Nobuhiko Ōbayashi,160,117,47,3.8,0,2,1,1,3,6,10,14,18,18
Behind the Door,1919,Irvin Willat,70,237,65,3.7,0,0,1,4,6,25,46,59,21,12
The Heifer,1985,Luis García Berlanga,122,550,112,3.7,0,2,2,6,15,41,84,109,43,31
The Courageous Heart of Irena Sendler,2009,John Kent Harrison,95,725,86,3.4,5,6,6,24,35,98,80,73,20,36
Tulips Shall Grow,1942,George Pal,7,466,70,3.3,0,5,6,17,18,42,58,39,8,15
The Turning Point,1945,Fridrikh Ermler,108,70,8,3.2,1,1,1,4,10,11,7,2,3,0
The Sea and Poison,1986,Kei Kumai,123,158,39,3.7,0,0,1,2,4,7,20,38,13,7
Yanks,1979,John Schlesinger,138,489,47,3.0,0,3,5,39,55,94,33,23,6,5
The Pentagon Wars,1998,Richard Benjamin,104,574,95,3.4,0,6,4,13,25,88,88,82,11,14
The Children of Huang Shi,2008,Roger Spottiswoode,125,680,66,3.2,1,2,10,30,48,118,79,57,6,16
Tubelight,2017,Kabir Khan,136,816,57,2.2,69,76,44,86,54,70,28,21,5,18
Take Off,2017,Mahesh Narayanan,139,527,152,3.6,1,3,1,10,14,58,100,142,39,18
Jubilation Street,1944,Keisuke Kinoshita,73,163,26,3.2,0,1,2,4,15,38,22,10,3,1
Kiss Them for Me,1957,Stanley Donen,105,453,34,2.8,2,11,13,50,44,72,38,14,3,7
The Counterfeit Traitor,1962,George Seaton,140,285,47,3.4,0,2,1,7,14,42,51,42,12,4
"Captain Newman, M.D.",1963,David Miller,126,270,33,3.2,1,1,2,15,21,53,39,23,3,5
The Littlest Rebel,1935,David Butler,70,703,55,2.9,5,16,11,41,35,78,30,35,6,11
Images of Liberation,1982,Lars von Trier,57,295,26,2.9,7,15,10,21,16,47,15,13,6,6
That Wasn't Me,2012,Esteban Crespo,20,453,36,2.8,21,21,18,32,41,67,39,36,17,7
Rose,2011,Wojciech Smarzowski,90,417,52,3.7,2,0,2,6,11,30,84,85,37,19
"Romeo, Juliet and Darkness",1960,Jiří Weiss,92,242,44,3.7,0,0,0,5,6,16,40,53,15,11
The Buccaneer,1958,Anthony Quinn,119,289,44,3.1,1,4,2,23,25,63,23,17,2,4
The Four Days of Naples,1962,Nanni Loy,124,150,28,3.6,0,2,0,1,2,13,29,38,6,6
The Catch,1961,Nagisa Ōshima,105,160,23,3.4,0,2,1,6,8,22,32,24,2,3
The Time And The Wind,2013,Jayme Monjardim,127,836,57,3.2,10,13,14,40,42,99,57,74,14,28
The Purple Plain,1954,Robert Parrish,98,301,34,3.2,0,3,4,7,26,84,45,26,3,2
An Ordinary Man,2017,Brad Silberling,90,281,26,2.8,1,11,13,33,43,49,21,16,4,0
The Last Days,1998,James Moll,87,256,28,3.6,4,2,0,3,4,25,37,46,9,20
Ten Seconds to Hell,1959,Robert Aldrich,93,254,36,3.3,0,1,2,12,20,59,46,29,6,3
Battle of Jangsari,2019,"Kwak Kyung-taek,Kim Tae-hun",104,268,30,3.0,2,8,10,31,41,56,27,20,5,12
Mosquito,2020,João Nuno Pinto,125,229,38,3.3,0,6,2,15,17,36,55,31,9,4
The Fighting Sullivans,1944,Lloyd Bacon,112,287,48,3.3,0,3,2,22,13,31,29,36,5,13
The Surrender of Tournavos,1897,Georges Méliès,1,668,38,2.7,6,12,17,53,57,80,25,16,2,6
Hitler's Madman,1943,Douglas Sirk,84,225,26,3.2,0,0,4,11,14,60,28,15,2,2
Millions Like Us,1943,"Sidney Gilliat,Frank Launder",103,246,30,3.3,1,0,3,13,13,48,41,28,7,4
La Cucaracha,1959,Ismael Rodríguez,97,173,43,3.5,0,2,0,5,7,18,22,15,8,11
Dzhamilya,1969,Irina Poplavskaya,78,145,47,3.7,0,0,0,0,4,7,19,28,10,11
Marooned in Iraq,2002,Bahman Ghobadi,108,250,37,3.6,3,4,1,3,11,18,27,38,16,16
She Devils of the SS,1972,Erwin C. Dietrich,95,228,19,2.6,6,12,22,22,29,28,17,4,1,2
The Diary of Anne Frank,1995,Akinori Nagaoka,102,169,21,3.2,0,2,1,7,17,23,15,10,2,4
Background to Danger,1943,Raoul Walsh,80,276,38,3.1,0,2,3,17,30,59,37,16,1,0
"The Tulse Luper Suitcases, Part 3: From Sark to the Finish",2004,Peter Greenaway,120,222,26,3.3,2,6,3,4,11,15,19,12,6,13
Three Years Without God,1976,Mario O'Hara,118,146,41,3.7,0,1,4,3,1,9,8,18,13,23
Harrison's Flowers,2000,Élie Chouraqui,130,495,42,3.2,2,3,8,23,33,79,52,48,7,12
Mission to Moscow,1943,Michael Curtiz,124,162,11,2.7,2,9,10,18,22,13,8,4,0,1
The French as Seen by…,1988,"Andrzej Wajda,Jean-Luc Godard,David Lynch,Werner Herzog,Luigi Comencini",76,292,19,3.0,2,2,7,14,25,27,17,14,1,1
War Dance,2007,"Sean Fine,Andrea Nix",105,241,39,3.6,0,2,1,2,9,22,33,42,13,17
The White Bird Marked with Black,1971,Yuri Ilyenko,99,117,24,3.5,0,1,0,0,8,16,10,24,10,2
Sharpe's Eagle,1993,Tom Clegg,98,554,93,3.5,0,2,1,5,13,60,69,71,10,15
Platoon Leader,1988,Aaron Norris,97,351,28,2.7,2,10,21,49,47,43,12,9,3,4
Follow the Boys,1944,A. Edward Sutherland,122,112,12,3.0,0,0,5,7,19,14,4,3,0,0
PT 109,1963,Leslie H. Martinson,140,339,44,3.1,1,2,4,12,34,61,32,17,1,1
Samurai Banners,1969,Hiroshi Inagaki,165,143,22,3.5,0,0,0,2,6,23,29,24,6,1
The Truce,1997,Francesco Rosi,125,258,16,3.1,1,3,0,18,23,46,26,17,3,1
Two Half-Times in Hell,1961,Zoltán Fábri,140,192,29,3.7,0,0,2,2,6,8,25,40,19,10
The War on Democracy,2007,"John Pilger,Sean Crotty,Chris Martin",96,286,42,3.6,0,5,2,7,12,28,38,59,22,15
The Boat Is Full,1981,Markus Imhoof,101,94,14,3.5,0,0,1,1,2,10,21,18,2,1
Panfilov's 28 Men,2016,"Kim Druzhinin,Andrey Shalopa",105,332,40,3.2,9,6,7,19,27,51,74,30,8,11
The Key,1958,Carol Reed,134,219,25,3.2,0,2,2,8,15,43,32,18,2,2
The Toth Family,1969,Zoltán Fábri,95,259,42,3.7,1,1,1,3,6,25,27,51,22,19
Meet the Demoman,2007,Robin Walker,2,700,136,3.4,3,2,4,18,26,62,55,36,13,33
Mumon: The Land of Stealth,2017,Yoshihiro Nakamura,125,267,52,3.3,0,2,7,12,20,49,43,29,6,12
Torpedo Run,1958,Joseph Pevney,98,235,20,3.1,0,4,1,11,19,53,27,12,0,2
Alias Maria,2015,José Luis Rugeles Gracia,92,154,18,3.2,0,5,1,11,19,31,25,8,6,3
Bullets of Justice,2019,Valeri Milev,76,118,20,2.9,4,11,4,13,11,26,8,5,0,4
Till We Meet Again,1950,Tadashi Imai,111,86,16,3.4,0,0,0,4,4,7,14,9,4,2
Walking with the Enemy,2014,Mark Schmidt,124,245,30,3.1,2,2,10,24,28,42,34,15,6,8
Blizzard of Souls,2019,Dzintars Dreibergs,123,283,76,3.8,2,2,1,3,6,20,40,66,28,31
The Patent Leather Kid,1927,Alfred Santell,150,59,4,3.1,1,2,5,5,6,10,6,4,0,1
Gunner Palace,2004,"Petra Epperlein,Michael Tucker",85,297,19,3.2,1,3,3,13,19,62,41,27,4,1
Deported Women of the SS Special Section,1976,Rino Di Silvestro,98,131,19,2.9,3,5,6,21,12,21,10,6,1,2
The Forgotten Faces,1961,Peter Watkins,18,265,28,3.3,2,1,0,7,9,51,43,30,5,2
Paratroop Command,1959,William Witney,71,51,7,3.2,1,0,1,5,5,11,8,5,0,0
Gung Ho!,1943,Ray Enright,88,226,20,2.9,2,3,9,20,31,38,11,7,1,2
Indivisible,2018,David G. Evans,119,178,36,3.1,3,5,7,18,15,35,13,18,3,7
Spies,1943,Chuck Jones,4,338,38,3.2,2,0,3,26,19,48,35,22,5,8
Ukrainian Rhapsody,1961,Sergei Parajanov,88,139,20,3.4,0,0,0,6,6,19,18,16,5,1
Taxi for Tobruk,1961,Denys de La Patellière,95,257,51,3.5,1,0,2,3,9,37,51,37,8,6
The World Moves On,1934,John Ford,104,164,10,3.1,1,2,7,15,18,23,16,7,2,6
In the Border States,1910,D. W. Griffith,16,291,37,3.2,1,0,3,3,30,45,38,12,5,4
The Dragon Dentist: Tengumushi,2017,Kazuya Tsurumaki,46,265,38,3.4,2,2,3,5,17,29,49,26,11,5
This Is Congo,2017,Daniel McCabe,93,181,38,3.6,0,0,1,3,1,21,32,38,12,9
Arion,1986,"Mamoru Hamatsu,Yoshikazu Yasuhiko",119,151,25,3.2,0,4,2,10,6,19,24,10,3,3
The Volunteer,1944,Michael Powell,45,99,9,3.1,0,2,2,6,19,19,10,4,0,0
The Diary of an Unknown Soldier,1959,Peter Watkins,17,239,11,3.2,0,1,0,7,15,60,22,18,3,2
Churchill's Island,1941,Stuart Legg,21,105,3,3.1,0,2,3,3,18,18,8,5,1,1
